#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.010468341827392579,0.1,1.0,0.0
1,1.8862194139130262,0.23922826805893255,1.0,1.0,0.31492859976632254,0.9960709396673708,0.0046507888793945315,0.55049169921875,0.2222,0.9742,159.79969120025635
2,1.5699542298608897,0.3538138331199179,1.0,1.0,0.4251605831846899,0.9588183188924984,0.004414777755737304,0.6408373046875,0.2854,0.9685,159.5582981109619
3,1.4483312490035076,0.41407339913504465,1.0,1.0,0.47205453989457113,0.9315172312211017,0.004305644226074218,0.673850244140625,0.3084,0.9571,159.39151167869568
4,1.3796406960000798,0.45670341958805005,1.0,1.0,0.5005978954081632,0.912383643948302,0.004140789794921875,0.669145068359375,0.3373,0.9285,159.83612251281738
5,1.3209180248026946,0.46996011539381377,1.0,1.0,0.5226649848782287,0.9093343773666693,0.0039862983703613285,0.693049853515625,0.3549,0.8926,160.02083539962769
6,1.2718148523447466,0.48835466345962214,1.0,1.0,0.5407916477748326,0.9008423941476005,0.0040272727966308595,0.69913818359375,0.3619,0.9171,160.38054704666138
7,1.2297461373465401,0.5039927424216757,1.0,1.0,0.5547254523452447,0.9038062582210619,0.004062683486938477,0.720728369140625,0.3647,0.8979,159.95595288276672
8,1.1971267388791453,0.5173122639558754,1.0,1.0,0.568871867899992,0.8994975965850207,0.0039425495147705075,0.720962939453125,0.3817,0.8891,160.114887714386
9,1.163262737040617,0.5315023149762835,1.0,1.0,0.5809559724768814,0.8942531663544324,0.0038836387634277342,0.727984619140625,0.3904,0.8981,160.0313150882721
10,1.137951831428372,0.5421949503373127,1.0,1.0,0.5915263818234814,0.8997225080217633,0.0039035682678222657,0.72631875,0.3891,0.8532,160.21178579330444
11,1.1153056864835778,0.550723056403958,1.0,1.0,0.6000231528768734,0.8916993433115433,0.004069313049316407,0.732716455078125,0.3711,0.8652,159.74877262115479
12,1.0918595450265067,0.55563058658522,1.0,1.0,0.6113376228176818,0.8832490882095025,0.003958315658569336,0.72011513671875,0.3915,0.8426,159.72833895683289
13,1.0654809912856744,0.5704168202925701,1.0,1.0,0.6174712667659837,0.8825647782306282,0.003730580520629883,0.71704423828125,0.416,0.8466,160.13857078552246
14,1.0399495338907048,0.5729317567786392,1.0,1.0,0.6289005668795838,0.8858778817313058,0.0036808990478515626,0.7403029296875,0.4309,0.8278,160.16094183921814
15,1.0182776937679368,0.5730145123540139,1.0,1.0,0.6361635558459223,0.8798040273238201,0.0036559974670410155,0.7358455078125,0.4352,0.8042,160.18548703193665
16,1.0028282476931203,0.5773471131616709,1.0,1.0,0.6416024967115752,0.8815777837013712,0.0037426261901855468,0.720182568359375,0.4263,0.8232,160.05429220199585
17,0.9849618405711894,0.5730242826500718,1.0,1.0,0.6491787190340004,0.8762270869040976,0.0034798896789550783,0.734002783203125,0.4484,0.7825,159.89190030097961
18,0.969658053651148,0.5783452793043486,1.0,1.0,0.6541820448272082,0.8736590171346859,0.0035114707946777343,0.71931640625,0.4403,0.8352,159.95629739761353
19,0.9519549778529576,0.5871036295988121,1.0,1.0,0.6611033848353794,0.8760657797054369,0.0038257400512695314,0.730268017578125,0.4129,0.8181,160.36440515518188
20,0.9331707857093032,0.5851905978455836,1.0,1.0,0.6672399092693718,0.8800508148816167,0.003381114959716797,0.734093408203125,0.4675,0.7595,160.02276015281677
21,0.9156029370366311,0.5824180135921556,1.0,1.0,0.672206178003428,0.8682314814353476,0.003347512435913086,0.724720703125,0.4764,0.7843,159.81286334991455
22,0.8993928870376275,0.5895213691555724,1.0,1.0,0.6788087183115433,0.8642919890734614,0.003120568656921387,0.718437255859375,0.4988,0.7799,160.5413851737976
23,0.8909663764797912,0.5898866458814971,1.0,1.0,0.6826115043795838,0.8649515424455915,0.0032064441680908205,0.7105603515625,0.4896,0.7796,159.74366664886475
24,0.8680023660465163,0.5887013260199099,1.0,1.0,0.6904391853176818,0.8602044241768974,0.003258169174194336,0.737954248046875,0.4808,0.7588,160.67186617851257
25,0.8588693579848932,0.5873098178785674,1.0,1.0,0.6964940440898039,0.85731654264489,0.0033087543487548827,0.735679150390625,0.477,0.7484,160.89371919631958
26,0.8467768455038265,0.5848832033118423,1.0,1.0,0.699549928003428,0.856852473044882,0.0030603199005126954,0.752826611328125,0.5153,0.7237,159.7391836643219
27,0.8330303892797354,0.5957869704888792,1.0,1.0,0.7022775143993144,0.854804447719029,0.0031387292861938475,0.713774951171875,0.5138,0.7524,159.9583704471588
28,0.8198351178850446,0.5974044410549865,1.0,1.0,0.7054235497299506,0.8489023325394611,0.003178639602661133,0.748481298828125,0.5089,0.7613,160.06450653076172
29,0.8067052413006218,0.5942492971614916,1.0,1.0,0.7123439555265465,0.8431407383510044,0.003211900329589844,0.728504248046875,0.5032,0.7634,160.20993494987488
30,0.7929368311045121,0.599308442096321,1.0,1.0,0.7180771341129225,0.841231209891183,0.0031028566360473634,0.73867451171875,0.5152,0.6949,159.95291209220886
31,0.7838928845463967,0.5966035103311345,1.0,1.0,0.7219568369339924,0.843342839455118,0.003150091552734375,0.728958544921875,0.5153,0.7332,160.03432297706604
32,0.7661913657674984,0.5989508336904098,1.0,1.0,0.7280211935237962,0.8302375637755102,0.0029613937377929687,0.736115771484375,0.5345,0.7351,159.91787934303284
33,0.7599503653390067,0.5974704975984535,1.0,1.0,0.7305627161142777,0.8302384979870855,0.0029215328216552735,0.72212421875,0.5456,0.7602,160.17185950279236
34,0.7460881447305485,0.6033703161745655,1.0,1.0,0.7364192106285874,0.8358131720095264,0.003021004676818848,0.744825732421875,0.5328,0.7121,160.69592022895813
35,0.7378239534339126,0.6047608901043328,1.0,1.0,0.7375780222367267,0.8360409639319595,0.0029226234436035155,0.731534375,0.5497,0.7494,160.034663438797
36,0.7224792947574538,0.6130795770761918,1.0,1.0,0.7444604367625957,0.8340707117197464,0.0030078987121582032,0.720901171875,0.5414,0.7633,159.7117829322815
37,0.7098702411262356,0.6070984820930325,1.0,1.0,0.7468861949687101,0.8356603505660076,0.0027940099716186524,0.74002646484375,0.566,0.7881,160.21354460716248
38,0.7055735685387436,0.609457794500857,1.0,1.0,0.7505466694734535,0.8378555142149633,0.003002429962158203,0.7529568359375,0.539,0.7157,159.7649281024933
39,0.694221730134925,0.6001058695267658,1.0,1.0,0.7542232591278699,0.8335934074557557,0.0030641469955444336,0.74045244140625,0.5454,0.734,159.6450970172882
40,0.689293452671596,0.6101981960997289,1.0,1.0,0.756007447534678,0.8388035832619181,0.0030062288284301757,0.725349755859375,0.5359,0.7569,159.50372171401978
41,0.6753873241191007,0.6026247374865473,1.0,1.0,0.7611568995884487,0.8292686306700414,0.002838150405883789,0.721237451171875,0.5613,0.7256,159.41186714172363
42,0.6657483626385124,0.6104996739601602,1.0,1.0,0.7621268447564573,0.8403628602319834,0.0029052248001098634,0.720533203125,0.5601,0.7309,159.51526498794556
43,0.6614263884875239,0.6032448982705876,1.0,1.0,0.7655803913972816,0.822662353515625,0.0029249313354492187,0.717193115234375,0.5626,0.7019,159.48127698898315
44,0.6487068643375319,0.6086261515714684,1.0,1.0,0.7690207033741231,0.8230115929428412,0.0028027896881103517,0.726096630859375,0.5735,0.7047,159.72014737129211
45,0.6405979078643176,0.6098357609340123,1.0,1.0,0.7722179646394691,0.824387686593192,0.0029986953735351564,0.732708251953125,0.5519,0.687,159.63604426383972
46,0.6319903159628109,0.6080778861532405,1.0,1.0,0.7741065511898119,0.8144275120326451,0.002985346984863281,0.73563310546875,0.556,0.692,159.420672416687
47,0.6205969440693758,0.612464359828404,1.0,1.0,0.7788090608557876,0.8202859528210699,0.0028815326690673827,0.73045205078125,0.5727,0.7057,159.6548228263855
48,0.6153883642079879,0.6110069119200414,1.0,1.0,0.7798757747727998,0.8118280683244977,0.0030361970901489257,0.727597265625,0.561,0.7207,161.23655033111572
49,0.612495383437799,0.6132815224783761,1.0,1.0,0.7823926186075016,0.8115395526496731,0.0028323591232299805,0.731675537109375,0.5778,0.7408,161.63623642921448
50,0.5984217585349569,0.6165865294787348,1.0,1.0,0.7879521116918448,0.8148906474210778,0.002679574203491211,0.72222216796875,0.595,0.7215,161.69316267967224
