#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=G']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.0,0.1,1.0,0.0
1,1.894339113819356,0.08252748177976024,1.0000934600830078,0.9999064803123474,0.31295363757075095,0.9999402104591837,0.0048897529602050785,0.114703857421875,0.2021,0.9974,175.378436088562
2,1.5888565997688138,0.14634610195549166,1.000304102897644,0.9996957778930664,0.42172315169353874,0.9989930756238042,0.00473785400390625,0.2087253662109375,0.2486,0.9907,175.26663613319397
3,1.4670995595503826,0.15936802844611966,1.0004692077636719,0.9995308518409729,0.4687044571857063,0.999371742715641,0.004637420654296875,0.168358251953125,0.2686,0.9878,175.15876841545105
4,1.3961282846878986,0.13724409804052237,1.0005407333374023,0.9994592070579529,0.496557819600008,0.9993024553571429,0.004436893081665039,0.07723259887695312,0.292,0.9924,175.32124495506287
5,1.336366925920759,0.1253868414431202,1.0005559921264648,0.9994439482688904,0.5206046201744858,0.9990832270408163,0.004374684906005859,0.1545173095703125,0.3075,0.9877,175.47747683525085
6,1.2839160062828843,0.11139767510550362,1.0005519390106201,0.9994480609893799,0.5386914233772122,0.9988639987244898,0.004366376113891602,0.09977179565429688,0.2975,0.9948,175.58187556266785
7,1.240641146290059,0.10280591614392338,1.0005179643630981,0.9994818568229675,0.5523215313347019,0.9989038584183674,0.004316820526123047,0.16264722900390624,0.3174,0.982,175.11537218093872
8,1.2069720832669004,0.10094699081109494,1.0005004405975342,0.9994997382164001,0.5662990102962572,0.9988535666952327,0.0042094982147216796,0.1529117919921875,0.3358,0.9665,175.1731734275818
9,1.1725301937181123,0.09637038561762595,1.0004782676696777,0.9995216727256775,0.5803182173748406,0.9985251913265306,0.004197087478637695,0.12039149169921876,0.3341,0.9756,175.45713901519775
10,1.146939413888114,0.07999510667761978,1.0004020929336548,0.9995979070663452,0.5889839250214246,0.9989237882653061,0.004117008972167969,0.13645472412109375,0.3508,0.9752,175.06720113754272
11,1.1237482343401228,0.06686032548242686,1.000281810760498,0.999718189239502,0.5988957152074698,0.9990234375,0.004345120620727539,0.12219207763671874,0.3218,0.9848,175.90861797332764
12,1.0971899227220185,0.06276304867802834,1.000156044960022,0.9998440146446228,0.609216495436065,0.9989835778061225,0.0042846092224121095,0.241109228515625,0.3339,0.951,176.13204669952393
13,1.0719144392986686,0.06289299166932398,1.0000464916229248,0.9999533295631409,0.6169284119897959,0.9991430165816326,0.0041691818237304685,0.110340380859375,0.3428,0.9929,175.43528151512146
14,1.0439792555205676,0.061826881097287546,0.999936580657959,1.0000635385513306,0.6276563527632733,0.999371742715641,0.003936491394042969,0.1466433837890625,0.3762,0.9867,175.42654728889465
15,1.0220182769152584,0.05451372691563198,0.9998072981834412,1.0001927614212036,0.6331522416095344,0.9992426658163265,0.003877259826660156,0.175089111328125,0.3681,0.986,176.05593729019165
16,1.0073073250906808,0.05431275951619051,0.9996980428695679,1.0003018379211426,0.6410938185088488,0.9992227359693877,0.004218996047973633,0.1697640380859375,0.3621,0.9693,175.36547088623047
17,0.9918388055295361,0.06059695749866719,0.9996158480644226,1.0003840923309326,0.644903260834363,0.9991828762755102,0.003804887390136719,0.18716395263671876,0.3896,0.9694,175.3745231628418
18,0.9690737043108258,0.0496368018948302,0.9995014071464539,1.000498652458191,0.6557555685237962,0.9994116024095185,0.004013557052612304,0.12597802734375,0.3751,0.9745,175.6282136440277
19,0.9539598737444196,0.04773165255176778,0.9993748068809509,1.0006251335144043,0.6620514538823342,0.9993024553571429,0.00436340446472168,0.13074422607421876,0.3346,0.9916,175.27919387817383
20,0.93619560708805,0.05660382582216847,0.9993056654930115,1.0006942749023438,0.6663838600625798,0.9995017538265306,0.003728532028198242,0.16691881103515624,0.4046,0.9819,175.48576951026917
21,0.9170948729223135,0.049645696367536275,0.9992167353630066,1.0007833242416382,0.6732283611686862,0.9993423150510204,0.003582976531982422,0.1596458984375,0.4173,0.9657,175.739679813385
22,0.9052370810995296,0.049007440099910815,0.9991334080696106,1.0008667707443237,0.678093112244898,0.9995416135204082,0.003575120162963867,0.1670862548828125,0.4247,0.9598,175.63851284980774
23,0.8936345625896843,0.05318938469400211,0.9990730881690979,1.0009269714355469,0.6816539375149474,0.9997010522959183,0.0034768398284912108,0.17520936279296875,0.4318,0.9549,175.38341999053955
