#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=GG']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.0,0.1,1.0,0.0
1,1.9033410208565849,0.007791509433668487,0.9999610781669617,1.0000391006469727,0.30726983595867546,0.9999202806122449,0.004890612411499023,0.07463732299804687,0.1988,0.9995,212.76122546195984
2,1.6011677956094548,0.00838894807562536,1.0000032186508179,0.9999967813491821,0.41622157972686147,0.9992426658163265,0.004795260620117188,0.10500985107421874,0.2519,0.9964,212.02435302734375
3,1.4770071847098214,0.007374882089848421,1.0000040531158447,0.9999959468841553,0.46352363119319995,0.9994021045918368,0.004663724899291993,0.10764866943359375,0.2826,0.9922,211.15265274047852
4,1.4046436231963488,0.0060742229831462005,0.9999549984931946,1.000044822692871,0.4932238520408163,0.9995615433673469,0.004560663986206055,0.0808314697265625,0.2915,0.9891,211.2310426235199
5,1.3436746402662627,0.005650140801254584,0.9998844265937805,1.0001155138015747,0.5154285430908203,0.999641262755102,0.0044623363494873045,0.11855452880859375,0.3166,0.9866,212.88447403907776
6,1.2918629548987564,0.004907067941159618,0.9998012781143188,1.0001988410949707,0.5325814850476324,0.9997010522959183,0.004439454650878906,0.052054339599609374,0.3151,0.994,212.49972581863403
7,1.248904559077049,0.004242295817453034,0.999677836894989,1.0003221035003662,0.5505288182472696,0.9995615433673469,0.004395353317260742,0.11054234619140625,0.323,0.987,212.0048975944519
8,1.212862287248884,0.0038091388283943645,0.9995578527450562,1.0004420280456543,0.563645499093192,0.9998007015306123,0.0043107036590576174,0.14335322265625,0.3281,0.9717,211.7315275669098
9,1.1768116853675064,0.003462461184482185,0.9994176626205444,1.0005823373794556,0.5781544276646206,0.9996706904197226,0.00428509521484375,0.10531307373046875,0.3431,0.9762,211.82954788208008
