#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=LK']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.0,0.1,1.0,0.0
1,1.894729925661671,0.005604740308255566,1.000023603439331,0.9999764561653137,0.31118367642772443,0.999810199348294,0.004857435989379883,0.0709295166015625,0.205,0.9946,191.08689856529236
2,1.5882639982262436,0.007657044396108511,1.00015127658844,0.9998486638069153,0.41981556950783244,0.9987842793367347,0.004701986694335938,0.06522508544921875,0.2627,0.9875,190.9762306213379
3,1.466500574228715,0.0071986664314659275,1.0002213716506958,0.9997785091400146,0.46571875591667333,0.9988440688775511,0.004530580520629883,0.061401556396484376,0.2904,0.9825,190.58422803878784
4,1.3969071057378029,0.007004980530057635,1.0002752542495728,0.9997248649597168,0.49544174817143655,0.9990234375,0.004430125427246094,0.03448523559570312,0.3029,0.988,190.96113419532776
5,1.33645925716478,0.006801559000599141,1.0003077983856201,0.9996920228004456,0.5193196121527224,0.9991430165816326,0.004289110946655274,0.0610873291015625,0.3263,0.9857,190.496591091156
6,1.2855773458675461,0.0055649724541878215,1.0002871751785278,0.9997128248214722,0.536761069784359,0.9993223852040817,0.004258863830566406,0.024279776000976562,0.3292,0.99,190.71594429016113
7,1.2437619579081634,0.005520849811787508,1.0002613067626953,0.9997386336326599,0.5532885960170201,0.9988440688775511,0.004335733795166016,0.044246743774414066,0.3331,0.9861,191.296537399292
8,1.2076864437181123,0.005158835527848224,1.0002334117889404,0.9997667074203491,0.5651203077666613,0.9988042091836735,0.004152981948852539,0.034001486206054685,0.3421,0.9828,190.68366169929504
9,1.173571372518734,0.004351713827678135,1.0001577138900757,0.9998421669006348,0.5801075526646206,0.9991629464285714,0.004193954467773438,0.022620196533203126,0.3536,0.9875,190.8503954410553
10,1.1479804369868065,0.004211056293273459,1.0000780820846558,0.9999219179153442,0.5887884023238201,0.9992825255102041,0.004106181716918946,0.03105413818359375,0.3633,0.9851,190.80477476119995
11,1.1214163643973214,0.004024611139784054,1.0000011920928955,0.9999987483024597,0.5983101202517139,0.9992625956632653,0.004215256881713867,0.019539385986328126,0.3501,0.9929,191.3698353767395
12,1.096798643773916,0.0036165726428129233,0.999889075756073,1.0001107454299927,0.6081915485615633,0.9991828762755102,0.004121986389160157,0.05068712463378906,0.3676,0.9761,190.90773034095764
13,1.0714240560726243,0.003247438948981616,0.9997782111167908,1.000221848487854,0.6168486926020408,0.9992825255102041,0.003989427185058594,0.022836366271972657,0.3718,0.9889,191.01098155975342
14,1.0451706088319117,0.0034356013852722793,0.9996838569641113,1.0003161430358887,0.627768341375857,0.9993024553571429,0.004009073638916016,0.03080701904296875,0.3865,0.9871,191.78178930282593
15,1.0230822660485093,0.0032058637969347896,0.9995834231376648,1.0004165172576904,0.6352477560237962,0.9992028061224489,0.003950526809692383,0.0268863525390625,0.3803,0.9902,191.20259881019592
16,1.009053288673868,0.0030199739397788533,0.9994781613349915,1.0005217790603638,0.6402786021329918,0.9990632971938775,0.004085556793212891,0.029991162109375,0.3746,0.9856,191.29358434677124
17,0.9912096140336017,0.002594134029077024,0.9993322491645813,1.0006678104400635,0.6455704436010244,0.9993812405333227,0.0037293201446533205,0.032281640625,0.4015,0.9856,191.504154920578
18,0.9730967307577327,0.0026092976331710815,0.9992098808288574,1.0007901191711426,0.6538887802435427,0.9993423150510204,0.0038449066162109377,0.02240977783203125,0.3867,0.9936,191.58829641342163
19,0.9540880164321588,0.0025078170761770133,0.9990786910057068,1.000921368598938,0.6605956408442283,0.9994021045918368,0.004176294326782227,0.018435914611816408,0.3689,0.992,191.7585060596466
20,0.9351913296446508,0.0023909901477852645,0.9989357590675354,1.0010643005371094,0.6660830439353476,0.9993024553571429,0.003622723388671875,0.042716754150390626,0.4257,0.9886,191.61333465576172
21,0.9199263125049825,0.0022862705649161824,0.9988062977790833,1.001193642616272,0.6733896683673469,0.9992426658163265,0.0035258567810058593,0.019237455749511717,0.4376,0.9923,191.4116768836975
22,0.905205707160794,0.0021196964139841043,0.9986565709114075,1.0013433694839478,0.6762253897530692,0.9995416135204082,0.003518280792236328,0.02488236083984375,0.425,0.9918,191.519389629364
23,0.8948359586754624,0.0019443070097845427,0.998495876789093,1.0015041828155518,0.6824093254245057,0.9995416135204082,0.003444110107421875,0.03550056457519531,0.4385,0.9876,191.92204785346985
24,0.8719026993732063,0.001999373034555085,0.9983512163162231,1.0016489028930664,0.6876936153489717,0.9994220344387755,0.0036329742431640624,0.054017767333984376,0.4265,0.9827,192.94844841957092
