#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=RC']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.029288995361328125,0.1,1.0,0.0
1,1.953420522261639,0.17180793139399314,0.9999517202377319,1.0000481605529785,0.29074135605169804,0.9999800701530612,0.004972243881225586,0.26870390625,0.2198,0.9977,188.6641023159027
2,1.6342918240294164,0.11764617842070911,0.9998864531517029,1.000113606452942,0.4063534639319595,0.9992920233278858,0.005048874664306641,0.324504052734375,0.2624,0.9305,187.66295051574707
3,1.4922964913504464,0.07779371981718103,0.999751627445221,1.0002484321594238,0.45800022203095103,0.9977374952666613,0.005049570465087891,0.3066178955078125,0.2826,0.8797,187.77675366401672
4,1.41153249935228,0.053163543039438675,0.999556839466095,1.0004432201385498,0.48929957954251035,0.995096323441486,0.0046506141662597655,0.29436982421875,0.3115,0.7787,188.26921248435974
5,1.3461347307477678,0.037661545130671284,0.9993188381195068,1.0006810426712036,0.5144946818449059,0.9923659344108737,0.0047977699279785156,0.3097274658203125,0.3053,0.7229,187.83484148979187
6,1.2923588655432876,0.028284977893440092,0.9990553855895996,1.00094473361969,0.5326593360122369,0.991728179308833,0.004761490249633789,0.2385177490234375,0.3227,0.8275,188.3395881652832
7,1.2466029731594785,0.022318618638174876,0.9987730383872986,1.0012271404266357,0.5511456703653141,0.9902420043945312,0.004758379745483398,0.287118994140625,0.3258,0.745,189.26812505722046
8,1.2116725688077965,0.018443410493889634,0.9984775185585022,1.001522421836853,0.5621943960384447,0.9887462538115832,0.004501866912841797,0.2360531494140625,0.3373,0.784,188.21491622924805
9,1.1772715510154257,0.015019588324488426,0.9981713891029358,1.0018285512924194,0.5777102879115513,0.9894457447285555,0.0043728645324707036,0.2313431640625,0.3574,0.7823,189.5199077129364
10,1.1491085753148915,0.012104282573777802,0.9978492856025696,1.0021507740020752,0.5890066964285714,0.9885783292809311,0.0043192646026611325,0.249899853515625,0.3545,0.7919,188.27284026145935
11,1.1206494545450016,0.010885548834898034,0.9975244402885437,1.002475619316101,0.6005536682751714,0.9890870074836575,0.004356730270385742,0.2482052001953125,0.3546,0.7045,188.80267691612244
12,1.0969802700743383,0.009608722462946055,0.9971967339515686,1.0028032064437866,0.6078612658442283,0.9897152647680166,0.004141573333740234,0.2786668212890625,0.3717,0.8215,188.45553493499756
13,1.0719762529645647,0.008519583210653188,0.9968650937080383,1.003134846687317,0.6161701435945472,0.9912906568877551,0.0038477943420410156,0.2440137451171875,0.3914,0.856,188.72413992881775
14,1.044459985227001,0.0078510903582281,0.9965327382087708,1.0034672021865845,0.629008740794902,0.9914083675462373,0.0043321659088134765,0.22068564453125,0.3455,0.7054,188.4960970878601
15,1.0247197053870376,0.006907098755544546,0.9961960315704346,1.0038039684295654,0.633786220939792,0.9926345202387595,0.003869154739379883,0.2525083740234375,0.3867,0.7918,189.0461483001709
16,1.0090768775161432,0.006406380205738301,0.9958562850952148,1.0041435956954956,0.639791761125837,0.9921049001265545,0.004370920181274414,0.2577961181640625,0.3495,0.8094,189.33896398544312
17,0.9901784780074139,0.005736357703500864,0.9955142736434937,1.0044856071472168,0.6452904915323063,0.992963829819037,0.0040319278717041015,0.2582962890625,0.3631,0.774,188.5616099834442
18,0.9729542634925064,0.005388127905981881,0.9951695203781128,1.0048304796218872,0.6538707188197544,0.994299129563935,0.004027534866333008,0.2451724609375,0.3677,0.8316,189.3249957561493
19,0.9535481978435906,0.0049923372511961025,0.9948262572288513,1.005173683166504,0.6603546142578125,0.9940210459183674,0.003935263824462891,0.244295556640625,0.3927,0.792,189.80063438415527
20,0.9361518548459423,0.00439341275059447,0.9944778680801392,1.0055220127105713,0.6657641663843271,0.9946085092972736,0.003878803634643555,0.27157568359375,0.3818,0.7809,189.48216462135315
