#['main.py', '--data-set=cifar10', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=ClassSimilarity(eps=0.6)', '--logic=YG']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.0046059684753417965,0.014089024353027344,0.1,1.0,0.0
1,1.9409435038663903,0.1504405080055704,0.9999788999557495,1.0000211000442505,0.2963824564096879,0.9999601403061225,0.004782745742797852,0.2861833251953125,0.2137,0.9998,213.69895553588867
2,1.63067035285794,0.11764306438212492,0.9999547004699707,1.0000454187393188,0.4083682468959263,0.9995216836734694,0.004879698944091797,0.31251943359375,0.2607,0.9923,212.06355738639832
3,1.4955142274194835,0.08497620602043307,0.9998674988746643,1.0001325607299805,0.45975689012177134,0.9989835778061225,0.0049669658660888676,0.3243640380859375,0.2839,0.9455,211.80494737625122
4,1.414316294144611,0.060459316993246276,0.9997162818908691,1.0002838373184204,0.48975699288504465,0.9964325573979592,0.004636921691894531,0.2852307861328125,0.3061,0.8996,212.0819492340088
5,1.348399882413903,0.04420086802268515,0.9995182752609253,1.0004816055297852,0.5127000614088408,0.9939005326251594,0.004791421127319336,0.304091015625,0.3164,0.8508,212.9851791858673
6,1.292709428436902,0.03382958441364522,0.9992903470993042,1.0007096529006958,0.5327086935237962,0.9926345202387595,0.004734908294677734,0.270756494140625,0.3244,0.8927,211.56773233413696
7,1.2457076870665258,0.02680225761569276,0.9990400075912476,1.0009599924087524,0.5500798906598773,0.9914292316047513,0.0047730937957763675,0.3068854248046875,0.3318,0.8377,212.43008494377136
8,1.2094687637017698,0.02142910811365867,0.9987692832946777,1.0012308359146118,0.564204469019053,0.9905618161571269,0.004478691101074218,0.2769134033203125,0.343,0.784,214.0997076034546
9,1.1753180367606026,0.017533983503069197,0.9984837770462036,1.0015159845352173,0.5756651041459064,0.990044574348294,0.004390575408935547,0.26021162109375,0.3569,0.8249,214.45432686805725
10,1.1487975607112961,0.014551444929473254,0.9981828927993774,1.001816987991333,0.5863541194370815,0.9908503318319515,0.0044106536865234375,0.3147801025390625,0.3546,0.8198,213.8431580066681
11,1.1227381180743783,0.012642188948027941,0.997874915599823,1.0021250247955322,0.5994632098139548,0.9898328975755342,0.0045402217864990236,0.288815966796875,0.3546,0.7318,213.81893062591553
12,1.0954070577816086,0.010965140498414332,0.9975609183311462,1.002439022064209,0.6091282513676858,0.990223942970743,0.004166854858398438,0.3445294921875,0.3905,0.8345,213.77563309669495
