#['main.py', '--data-set=cifar100', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=50', '--constraint=Groups(eps=0.2, delta=0.09)']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.00921081085205078,0.0,0.01,1.0,0.0
1,4.435828695491868,0.013795435428619385,1.0,1.0,0.048793958157909156,0.6507816314697266,0.008788935089111329,0.116976904296875,0.0507,0.3552,152.27430534362793
2,3.9748226866430167,0.05354612214224679,1.0,1.0,0.11434891759132852,0.22850423929642658,0.008398298645019531,0.157277880859375,0.0658,0.1198,152.3298590183258
3,3.7195587158203125,0.08333488386504505,1.0,1.0,0.14938084933222556,0.056985125249745895,0.008169937133789062,0.18471895751953124,0.0741,0.0343,152.13791465759277
4,3.5552477155412947,0.1040882869642608,1.0,1.0,0.1743757286850287,0.015915405993558923,0.007962117004394531,0.20006275634765625,0.0907,0.0168,152.2694606781006
5,3.419141185526945,0.12070850450165417,1.0,1.0,0.199939066050004,0.00661670918367347,0.007820956420898438,0.212085107421875,0.1012,0.0123,152.36064791679382
6,3.312587193080357,0.1334406988961356,1.0,1.0,0.21520628247942244,0.004146357276001755,0.0075383308410644535,0.2202898193359375,0.1252,0.0133,152.12456560134888
7,3.208805006377551,0.14297200222404635,1.0,1.0,0.23551575018435109,0.0035285320208997143,0.007403570556640625,0.225991064453125,0.1363,0.0144,152.21117854118347
8,3.11867601044324,0.15366192253268496,1.0,1.0,0.24977886433504065,0.0036186907364397633,0.007194915771484375,0.2255497802734375,0.1521,0.0196,152.6783585548401
9,3.031605000398597,0.16077084444007095,1.0,1.0,0.26738452911376953,0.004365585592328285,0.0070574249267578125,0.226010205078125,0.1658,0.0267,152.29518342018127
10,2.9571143948301977,0.16887684257663027,1.0,1.0,0.28196938183842873,0.00536207763516173,0.006940337371826172,0.2287279296875,0.175,0.0288,152.78480696678162
11,2.8852146693638394,0.172849888704261,1.0,1.0,0.29504336143026544,0.005921062766289224,0.006763572692871094,0.2316734375,0.1894,0.0363,152.48028135299683
12,2.8211146763392856,0.17910102922089247,1.0,1.0,0.3067051634496572,0.006956465390263771,0.006686911773681641,0.2297539306640625,0.2015,0.0448,152.51702189445496
13,2.760812876175861,0.1824071066720145,1.0,1.0,0.31613007370306523,0.007425291805851216,0.006713284301757812,0.22883134765625,0.1969,0.0495,152.04024291038513
14,2.6999611367984695,0.1860967558257434,1.0,1.0,0.3307120654047752,0.009148748553529078,0.006513257598876953,0.2232865966796875,0.2143,0.0667,152.51935458183289
15,2.64403113540338,0.18778699758101483,1.0,1.0,0.3404131908806003,0.010056980410400701,0.006459474182128906,0.223764453125,0.2168,0.0717,152.46877312660217
16,2.594634542659837,0.19024103515002191,1.0,1.0,0.34884538455885283,0.010862715390263771,0.006343391036987305,0.22328251953125,0.2287,0.0873,152.68356585502625
17,2.540147586744659,0.19191037392129703,1.0,1.0,0.36136132843640384,0.012527332013967087,0.006238189315795899,0.2177084716796875,0.2396,0.0913,152.63574981689453
18,2.493010696099729,0.19233896294418645,1.0,1.0,0.3726767325887875,0.014053389734151413,0.00628248405456543,0.2160021240234375,0.2324,0.1021,152.59846997261047
