#['main.py', '--data-set=gtsrb', '--batch-size=512', '--lr=0.00001', '--epochs=50', '--pgd-steps=30', '--constraint=Groups(eps=0.6, delta=0.02)']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.007457446221406745,0.6652269521971497,0.004750593824228029,0.0,0.0
1,3.0225536418410965,0.6550739216354659,1.0,1.0,0.23216391509433962,3.685141509433962e-05,0.006114896893595668,0.6447518464222091,0.18915281076801266,7.917656373713381e-05,96.55618906021118
2,2.0740216812997496,0.6218585608140478,1.0,1.0,0.4927402712264151,0.00011055424528301887,0.005452101851680028,0.6279304220481987,0.27672209026128264,7.917656373713381e-05,96.05420303344727
3,1.3959012301463,0.5874128521613355,1.0,1.0,0.6842202240566038,0.0,0.0048780125658000545,0.6180197817695962,0.3375296912114014,0.00015835312747426763,96.13948678970337
4,0.9365079627846772,0.557514730489479,1.0,1.0,0.8188015919811321,0.00022110849056603774,0.004436359420619309,0.6002727880047506,0.3831353919239905,0.00031670625494853525,96.10541939735413
5,0.6499298383604806,0.5369724777509581,1.0,1.0,0.8880085495283019,0.0004422169811320755,0.00425229952246635,0.5971411384105305,0.40419635787806807,0.0006334125098970705,96.13391256332397
6,0.4539024784879864,0.5191618361563053,1.0,1.0,0.9364681603773585,0.0015477594339622642,0.004079285936514159,0.5866297923470902,0.4296912114014252,0.00166270783847981,96.15504264831543
7,0.3230483217059441,0.5022574010884987,1.0,1.0,0.9636645047169812,0.0020268278301886792,0.003946081721773246,0.5814161625346398,0.448535233570863,0.0018210609659540776,96.53752636909485
8,0.23818669229183556,0.48960037951199514,1.0,1.0,0.9767467570754716,0.003132370283018868,0.00400215203292013,0.5762983719319081,0.442596991290578,0.002929532858273951,96.12929081916809
9,0.1741216407631928,0.4758289984936984,1.0,1.0,0.9861807193396226,0.00589622641509434,0.003919894716046863,0.5683927002919635,0.45518606492478225,0.004908946951702296,96.16806316375732
10,0.13011775826508143,0.46821014836149394,1.0,1.0,0.9921875,0.007186025943396226,0.003793871374424733,0.5600608360550278,0.47719714964370546,0.007442596991290578,96.24873280525208
11,0.10378481307119694,0.45676972731104437,1.0,1.0,0.9944722877358491,0.008365271226415094,0.003813744346395147,0.5590792476989311,0.47569279493269995,0.009263657957244655,96.1248779296875
12,0.08697030229388543,0.4488568575877064,1.0,1.0,0.9964622641509434,0.012050412735849057,0.0037060025563243827,0.5459210925128662,0.48883610451306414,0.013618368962787016,96.07253551483154
