#['main.py', '--data-set=gtsrb', '--batch-size=256', '--lr=0.0001', '--logic=none', '--epochs=50', '--pgd-steps=40', '--constraint=Robustness(eps=0.4, delta=0.01)']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.014915053125231963,0.0,0.004750593824228029,1.0,0.0
1,1.1924490065801712,0.49500274658203125,1.0,1.0,0.6841145833333333,0.002529761904761905,0.004201511192774829,0.8810396872525732,0.6882818685669042,0.004908946951702296,240.558495759964
2,0.07775503794352213,0.8401194981166294,1.0,1.0,0.9829613095238096,0.022135416666666668,0.00292694804598581,0.8748794567745447,0.7921615201900237,0.032304038004750596,240.51269435882568
3,0.01856519040607271,0.8685613723028274,1.0,1.0,0.9963169642857143,0.04869791666666667,0.0023426741526793226,0.8885043206898258,0.8380047505938242,0.04568487727632621,240.37839555740356
4,0.00948946475982666,0.8607644217354911,1.0,1.0,0.9984002976190476,0.065625,0.0023322029143972994,0.8651834205512668,0.8359461599366588,0.06682501979414093,240.33960509300232
5,0.014040491694495791,0.8662152244931176,1.0,1.0,0.9970610119047619,0.07053571428571428,0.002232789426971218,0.8584469176811164,0.8488519398258115,0.07569279493269992,240.4514012336731
6,0.005899683634440104,0.8440838768368676,1.0,1.0,0.9988839285714286,0.09322916666666667,0.001785008150343846,0.8623483737876089,0.8724465558194774,0.08487727632620744,240.30653929710388
7,0.0053774322782244,0.8416713896251861,1.0,1.0,0.9986979166666666,0.10189732142857143,0.0019343244019521199,0.8452107457442597,0.8651623119556612,0.10158353127474268,240.26220417022705
8,0.001768966515858968,0.8377320062546503,1.0,1.0,0.9998139880952381,0.11357886904761905,0.0015687336925467327,0.8323256105255344,0.8882818685669042,0.11456848772763262,240.32345461845398
9,0.00038989633321762085,0.8141108921595982,1.0,1.0,1.0,0.13950892857142858,0.0015550984905904376,0.8236677615300871,0.8904196357878068,0.1250989707046714,240.35527396202087
10,0.00025406309536525184,0.7997884841192336,1.0,1.0,1.0,0.15476190476190477,0.0016132837991722029,0.8270074042458432,0.8859857482185273,0.1252573238321457,240.447998046875
11,0.00018838457763195037,0.7923589797247024,1.0,1.0,1.0,0.1625,0.0016013031428707845,0.8168709483867775,0.8872525732383214,0.13531274742676166,240.29390954971313
12,0.00016219580457324073,0.7883626302083333,1.0,1.0,1.0,0.16383928571428572,0.001652072897433102,0.8126349249059779,0.8878068091844814,0.14259699129057798,240.43102622032166
13,0.0001450732084257262,0.7857778640020461,1.0,1.0,1.0,0.16871279761904762,0.0015831274544541457,0.8152937574228029,0.8890736342042755,0.1400633412509897,240.36787033081055
14,0.00012917580703894298,0.7834766932896206,1.0,1.0,1.0,0.1736235119047619,0.0015424951899174369,0.8227923347189232,0.8931116389548693,0.1319081551860649,240.47304344177246
15,0.0001910216219368435,0.7865577334449405,1.0,1.0,1.0,0.17008928571428572,0.0016410037816184339,0.8159255461945764,0.888202692003167,0.13832145684877276,240.52020645141602
16,0.03038174311319987,0.8302373976934524,1.0,1.0,0.9922619047619048,0.10982142857142857,0.002107167187326028,0.842663177949327,0.8529691211401426,0.10063341250989707,240.3672502040863
17,0.02734853880746024,0.8147635323660715,1.0,1.0,0.9925223214285714,0.1373139880952381,0.00119654420624625,0.8481971094368567,0.9144101346001584,0.10973871733966746,240.32057428359985
18,0.0034737027826763334,0.7651937575567336,1.0,1.0,0.9993675595238095,0.19836309523809523,0.0011119773061334002,0.7654617756581552,0.9227236737925574,0.20308788598574823,240.37215423583984
19,0.0016198223545437766,0.7356720697312128,1.0,1.0,0.9996651785714286,0.22488839285714285,0.0011839246712123603,0.7599568394942597,0.9190023752969121,0.20213776722090263,240.43873286247253
20,0.004300492718106224,0.740037609281994,1.0,1.0,0.9990327380952381,0.2234375,0.0010725386824196328,0.7558524161223278,0.9240696753760886,0.19825811559778306,240.34505987167358
21,0.005465380350748698,0.7202109200613839,1.0,1.0,0.9985119047619048,0.24095982142857142,0.001177092195029119,0.7561294567745447,0.9174188440221694,0.20316706254948536,240.32630515098572
22,0.003001446383340018,0.728164309547061,1.0,1.0,0.9992559523809523,0.23422619047619048,0.001038942012348915,0.738155139672407,0.9244655581947744,0.22327790973871733,240.39390349388123
23,0.0002864199380079905,0.7034032185872395,1.0,1.0,1.0,0.2605654761904762,0.0009138479557475303,0.7163818166072843,0.9331749802058591,0.24901029295328583,240.5089545249939
24,0.00010363240504548663,0.6988951183500745,1.0,1.0,1.0,0.26525297619047616,0.0008202743077221506,0.7230918757422803,0.9387965162311955,0.24600158353127474,240.2941493988037
25,5.6167603248641604e-05,0.6940330868675595,1.0,1.0,1.0,0.2714657738095238,0.0008368504962936245,0.7138567491834917,0.9381631037212985,0.2552652414885194,240.29649877548218
26,8.005136180491674e-05,0.6883657546270461,1.0,1.0,1.0,0.2774925595238095,0.0007759375885565509,0.7159255461945764,0.9419635787806809,0.25518606492478224,240.36814212799072
27,5.1415197196460904e-05,0.6846484956287202,1.0,1.0,1.0,0.28154761904761905,0.0007879310058207145,0.7022949605354315,0.9418844022169438,0.2680126682501979,240.4444706439972
28,3.450872553955941e-05,0.6840448288690476,1.0,1.0,1.0,0.28351934523809524,0.0007612415655019825,0.7110744352484165,0.9436262866191607,0.25985748218527316,240.3555507659912
29,2.9232576932935488e-05,0.6843031383696057,1.0,1.0,1.0,0.2825892857142857,0.0007455514710004237,0.7203271909639747,0.9432304038004751,0.24956452889944578,240.47784781455994
30,2.5459820227254004e-05,0.6806050618489583,1.0,1.0,1.0,0.28683035714285715,0.0007708056427992627,0.7087001435075218,0.942596991290578,0.261520190023753,240.4256238937378
31,2.320031857206708e-05,0.6797555832635789,1.0,1.0,1.0,0.2869047619047619,0.0007141823817696348,0.7083621740152415,0.945526524148852,0.26318289786223276,240.45181131362915
32,2.4507476371668635e-05,0.6776704334077381,1.0,1.0,1.0,0.2902901785714286,0.000717638865974529,0.6957260892963183,0.9454473475851148,0.2761678543151227,240.47875499725342
33,2.061666122504643e-05,0.6745835803803943,1.0,1.0,1.0,0.29185267857142855,0.0007367384027887315,0.7128851352187252,0.9451306413301662,0.25819477434679333,240.4032380580902
34,1.8355590734808217e-05,0.6761729649135044,1.0,1.0,1.0,0.29185267857142855,0.000724295633516893,0.71208432304038,0.9441013460015836,0.2606492478226445,240.60656881332397
35,1.6615591898915314e-05,0.6741747174944196,1.0,1.0,1.0,0.29308035714285713,0.0007283425954062129,0.7035989768903405,0.9434679334916865,0.26809184481393505,240.3403353691101
36,1.4367605382133098e-05,0.6739159720284599,1.0,1.0,1.0,0.2953497023809524,0.0007235801134992948,0.6931997074178543,0.9463974663499604,0.2803642121931908,240.3955545425415
37,1.427314155513332e-05,0.6725687662760417,1.0,1.0,1.0,0.29579613095238094,0.0007533349031884804,0.7006464024148852,0.9440221694378464,0.2714172604908947,240.3483054637909
38,1.298254466659966e-05,0.6708258492606026,1.0,1.0,1.0,0.2975818452380952,0.0007221505836372043,0.6999280142765242,0.9454473475851148,0.2716547901821061,240.53806328773499
39,1.2235598461258979e-05,0.6699550083705357,1.0,1.0,1.0,0.2989583333333333,0.0007237170862000043,0.7047194335164292,0.9448139350752177,0.2679334916864608,240.46051478385925
40,1.061643651198773e-05,0.6675316220238096,1.0,1.0,1.0,0.30186011904761906,0.0007213354677032688,0.6998156670625495,0.9453681710213777,0.271021377672209,240.36517477035522
41,1.0652152732724235e-05,0.6664188203357515,1.0,1.0,1.0,0.30223214285714284,0.0006861701053187475,0.6946548087391132,0.9478226444972289,0.2796516231195566,240.37519550323486
42,1.024224329739809e-05,0.6658417474655878,1.0,1.0,1.0,0.30297619047619045,0.000715742315079424,0.7049991803988519,0.9464766429136976,0.26658749010292954,240.34902834892273
43,8.845740064446416e-06,0.6677772158668155,1.0,1.0,1.0,0.30115327380952384,0.0007180078012643121,0.6991740585411718,0.9464766429136976,0.273950910530483,240.45305180549622
44,8.63177092036321e-06,0.6665857950846354,1.0,1.0,1.0,0.30301339285714285,0.0006967323315304041,0.7008143433293745,0.9474267616785431,0.27228820269200316,240.38763308525085
45,7.9806367423208e-06,0.6631421770368303,1.0,1.0,1.0,0.3064732142857143,0.0007300302893607653,0.6892738179186461,0.9452889944576406,0.28186856690419637,240.40484046936035
46,9.509254734785784e-06,0.6634942190987724,1.0,1.0,1.0,0.30554315476190474,0.0006958931283354287,0.6895621474168646,0.9467933491686461,0.2844813935075218,240.4686896800995
47,7.87353575495737e-06,0.6623891921270462,1.0,1.0,1.0,0.30833333333333335,0.0007211756158800042,0.6924820151672605,0.9459224069675376,0.28099762470308787,240.4251561164856
48,7.4047761570130075e-06,0.6635976882207961,1.0,1.0,1.0,0.30505952380952384,0.0007462565708235909,0.6949794790429533,0.9447347585114806,0.2777513855898654,240.42528200149536
49,6.664982287301904e-06,0.6624946957542783,1.0,1.0,1.0,0.3084449404761905,0.0007524762187604383,0.6933883703236342,0.944338875692795,0.28028503562945367,240.40225982666016
50,6.159053494532903e-06,0.6606367565336682,1.0,1.0,1.0,0.3088169642857143,0.0007358997281543433,0.6990508090855106,0.9450514647664291,0.2745051464766429,240.35700130462646
