#['main.py', '--data-set=mnist', '--batch-size=256', '--lr=0.0001', '--logic=none', '--epochs=50', '--pgd-steps=15', '--constraint=Robustness(eps=0.8, delta=0.01)']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.009251368713378906,6.849029660224914e-05,0.0842,0.9961,0.0
1,0.7531727892287234,0.6129002347905586,1.0,1.0,0.7802803851188498,0.014228723404255319,0.0009152772903442383,0.79052109375,0.9318,0.081,17.26371717453003
2,0.2976370953499003,0.8012946595536902,1.0,1.0,0.911934840425532,0.034967864827906835,0.0005259336471557617,0.85072919921875,0.961,0.0723,16.902382850646973
3,0.20403215124251994,0.8396449961560838,1.0,1.0,0.9402149606258311,0.03694592333854513,0.00035559144020080565,0.8655080078125,0.9728,0.0783,16.775765419006348
4,0.15773356011573306,0.859047877534907,1.0,1.0,0.9545932850939163,0.03915115112953998,0.00026857659816741943,0.8386439453125,0.9781,0.1182,16.874309062957764
5,0.1300850807352269,0.858978726001496,1.0,1.0,0.9626163563829787,0.047462321342305935,0.00022682254314422608,0.84701708984375,0.9808,0.1165,16.890500783920288
6,0.11474182453561337,0.8520208480510306,1.0,1.0,0.9653590425531915,0.056222294746561256,0.00019798461198806762,0.85395029296875,0.9832,0.1151,16.822617769241333
7,0.10317450178430436,0.8531514918550532,1.0,1.0,0.969442619161403,0.060050976530034494,0.00018261395692825317,0.83076640625,0.984,0.1408,16.847004652023315
8,0.09306121176861702,0.8475173625540227,1.0,1.0,0.9716866351188498,0.06860039893617022,0.00015952165126800538,0.83845224609375,0.9862,0.134,16.85741376876831
9,0.08559858443889212,0.8458293508976064,1.0,1.0,0.9747285234167221,0.07170877659574468,0.00015114277601242066,0.81984755859375,0.9868,0.1527,16.900505304336548
10,0.08145298247641705,0.8348006228183178,1.0,1.0,0.9755928851188498,0.08099512140801612,0.0001488515615463257,0.80838779296875,0.9872,0.1652,16.841733694076538
11,0.07635903054095329,0.8295441323138298,1.0,1.0,0.9774157584981715,0.08806515957446809,0.00013724085092544556,0.799625439453125,0.9878,0.1753,16.803473472595215
12,0.07331279998129987,0.8195560536486037,1.0,1.0,0.9779144287109375,0.0957280585106383,0.00012789499759674074,0.790442333984375,0.9888,0.1855,16.81395173072815
13,0.07042620232764711,0.8182857432263962,1.0,1.0,0.9792498000124668,0.09725177034418633,0.00012550286054611206,0.81041103515625,0.9891,0.1661,16.826987266540527
14,0.06779105409662774,0.8188048667096077,1.0,1.0,0.9800199468085107,0.09726285731538813,0.0001175531268119812,0.797025341796875,0.9896,0.1806,16.875336408615112
15,0.06327626248623462,0.8185100149601063,1.0,1.0,0.9810450127784242,0.10127437672716506,0.00011795598268508911,0.7718939453125,0.9893,0.2068,16.8041729927063
16,0.06106467957192279,0.8071912400265957,1.0,1.0,0.9822307180851064,0.11186280757822889,0.00011455985307693482,0.788841552734375,0.9896,0.1907,16.870046854019165
17,0.060667784670565994,0.8126758331948138,1.0,1.0,0.9815603053316156,0.10694813829787234,0.00011935714483261109,0.786692919921875,0.9895,0.1935,17.018012285232544
18,0.05739607303700549,0.8073229850606716,1.0,1.0,0.9826517957322141,0.11215093085106383,0.0001045749545097351,0.780774755859375,0.9908,0.1997,16.853580713272095
19,0.05533958597386137,0.7934182674326795,1.0,1.0,0.9829787234042553,0.12454565332290975,0.00010877847671508789,0.78041640625,0.9907,0.2008,16.85466194152832
20,0.05272349905460439,0.7989372740400599,1.0,1.0,0.9840425531914894,0.12084995837921791,0.00010692081451416015,0.756190087890625,0.9906,0.224,16.857213258743286
21,0.05124955278761843,0.7937388967960439,1.0,1.0,0.9842365021401264,0.1246398519962392,0.00011014243364334106,0.7468521484375,0.9906,0.2352,16.742600202560425
22,0.049329940308915805,0.7815016726230053,1.0,1.0,0.9841533904379987,0.13620899281603224,9.840269088745117e-05,0.75802060546875,0.9925,0.2251,16.820475816726685
23,0.04873856077802942,0.7832779255319149,1.0,1.0,0.9845744680851064,0.1350565159574468,0.00010253397226333618,0.72871162109375,0.9914,0.2537,16.873805284500122
24,0.04797957400058178,0.7715503449135638,1.0,1.0,0.9855219414893617,0.1439162234042553,9.862898588180542e-05,0.751487109375,0.9923,0.2309,16.825339317321777
25,0.044606781005859374,0.7759559793675199,1.0,1.0,0.9865359042553191,0.1431793050563082,9.569346308708191e-05,0.74588154296875,0.9921,0.237,16.808279514312744
