#['main.py', '--data-set=mnist', '--batch-size=256', '--lr=0.0001', '--logic=g', '--epochs=50', '--pgd-steps=15', '--constraint=Robustness(eps=0.8, delta=0.01)', '--grad-norm-alpha=0.1']
Epoch,Train-P-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Test-P-Loss,Test-C-Loss,Test-P-Acc,Test-C-Acc,Time
0,0.0,0.0,1.0,1.0,0.0,0.0,0.009251368713378906,0.0018100454330444336,0.0842,0.9961,0.0
1,2.24488837059508,0.012601393841682596,0.993000864982605,1.0069992542266846,0.4021332111764461,0.8661070478723404,0.008845338439941406,0.0,0.6902,1.0,20.90528964996338
2,2.1851185900099734,0.02489408736533307,0.9938851594924927,1.0061149597167969,0.7107657574592753,0.7669769287109375,0.008572256469726562,0.0,0.9079,1.0,19.69624400138855
3,2.120285099110705,0.04483188872641705,0.9998850226402283,1.000114917755127,0.8714261968085106,0.6487865691489362,0.008322747802734376,0.00013111610412597655,0.9354,0.9997,19.751654624938965
4,2.0816230936253324,0.061030416285738034,1.0061455965042114,0.9938545227050781,0.909679721264129,0.5768395606507646,0.008217252349853515,0.00034277448654174803,0.9473,0.9992,19.713210821151733
5,2.0574330431349734,0.07356963462017953,1.0118067264556885,0.9881930947303772,0.9200244010762966,0.5290336771214262,0.008127578735351563,0.0004659004211425781,0.9506,0.9989,19.702481746673584
6,2.035163652135971,0.08787655931838015,1.017580270767212,0.9824198484420776,0.9285350393741689,0.48367686170212765,0.008076629638671874,0.0005062757968902588,0.9562,0.9989,19.67040991783142
7,2.0083933728806516,0.10817525336082945,1.0241198539733887,0.9758800268173218,0.9310283904379987,0.4297539893617021,0.007837152862548828,0.00750881576538086,0.9555,0.9851,19.751379013061523
8,1.3032438237616357,0.4553276873649435,1.0496231317520142,0.9503768682479858,0.907064494680851,0.20687056196496842,0.0006893786430358887,0.456622802734375,0.9501,0.5174,19.66441774368286
9,0.20395376327189993,0.3784805947161735,1.0644429922103882,0.9355570077896118,0.9409851723528923,0.5296043882978724,0.00034574053287506106,0.192926953125,0.9731,0.7906,19.695050477981567
10,0.14045132576151098,0.2378502866055103,1.0734305381774902,0.9265695810317993,0.9605385638297872,0.6879100393741688,0.00027785048484802247,0.115687744140625,0.9767,0.873,19.961705684661865
11,0.11867976087204954,0.17810849128885473,1.080509066581726,0.9194909334182739,0.9670822468209774,0.7587544542677859,0.00023206996917724608,0.08488098754882813,0.9816,0.9041,19.75615167617798
12,0.10704600557367852,0.1529673474900266,1.0870399475097656,0.9129599928855896,0.9706892946933178,0.7939605712890625,0.0002034858226776123,0.076795556640625,0.9836,0.9127,19.891947746276855
13,0.09845309967690326,0.13890549680019948,1.0934853553771973,0.9065145254135132,0.9733876329787234,0.8106604393492354,0.00019236751794815063,0.07119119873046875,0.9847,0.9188,20.1432626247406
14,0.08961386173329455,0.127430611468376,1.0998833179473877,0.9001166224479675,0.9751717425407247,0.8261524606258311,0.00017063645124435424,0.06659971313476562,0.9861,0.9234,19.890267610549927
15,0.08171302308427526,0.11905164515718501,1.1064050197601318,0.8935949802398682,0.9776817159449801,0.8394337106258312,0.0001732729434967041,0.06266847534179687,0.9862,0.9283,19.752712726593018
16,0.07750997340425532,0.11243773115442154,1.113126516342163,0.8868735432624817,0.9788674861826795,0.8481494010762965,0.00015699390172958374,0.05595728149414062,0.9873,0.9356,19.722614288330078
17,0.07443149647814162,0.10763217033223903,1.1200205087661743,0.8799795508384705,0.9791057180851064,0.8537123010513631,0.00016110144853591918,0.05306687622070313,0.9868,0.9386,19.663435220718384
18,0.0709161880168509,0.10413716093022772,1.1272143125534058,0.872785747051239,0.9801196808510638,0.8599124340300864,0.00015524951219558715,0.0509345458984375,0.988,0.9415,19.811684370040894
19,0.06977948127908909,0.10126030292916806,1.1347112655639648,0.8652886748313904,0.9809230723279587,0.8639461436170213,0.00014455939531326294,0.05158292846679687,0.9885,0.9399,19.841777563095093
20,0.0643887661873026,0.09521473012071975,1.1422393321990967,0.8577606678009033,0.9818484042553192,0.8706948138297872,0.00014715481996536254,0.04786664733886719,0.988,0.9448,19.834705114364624
21,0.0620754323107131,0.09382560405325382,1.1501747369766235,0.8498252034187317,0.9825021946683843,0.8740968744805518,0.00014873080253601073,0.0464182373046875,0.9883,0.9468,19.700998783111572
22,0.05992249833776596,0.09111717711103723,1.1583609580993652,0.8416390419006348,0.9832724063954454,0.8785128329662566,0.00014098238945007324,0.04373601379394531,0.989,0.9503,20.009279489517212
23,0.059470424246280754,0.089693028876122,1.166826844215393,0.8331731557846069,0.9834940159574468,0.8791999329911901,0.00013151954412460328,0.043733294677734375,0.9892,0.9493,19.783020973205566
24,0.0581012117101791,0.08779373168945312,1.1754816770553589,0.8245182633399963,0.9836436170212766,0.8827460106382978,0.00012207251787185668,0.04458423461914063,0.9898,0.9485,19.748773336410522
25,0.054138220117447226,0.08505373204008061,1.184324860572815,0.8156750798225403,0.984624335106383,0.8860926202002992,0.00012355122566223145,0.0427416015625,0.9911,0.9514,20.01533269882202
26,0.05351016673635929,0.08348037232743932,1.1933541297912598,0.8066458106040955,0.984873670212766,0.8871675531914893,0.00012744555473327636,0.03832391662597656,0.9906,0.9563,20.0051167011261
