#['main.py', '--data-set=mnist', '--batch-size=4096', '--lr=1e-5', '--epochs=50', '--constraint=EvenOdd(eps=0.4, delta=0.6, gamma=3.0)', '--oracle-steps=20', '--oracle-restarts=10', '--delay=10', '--logic=GG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0814208984375,1.0,1.0,0.0,19.373328685760498,1.0,1.0
1,2.2927423204694475,0.7864162581307548,0.7943691526140485,1.0,1.0,0.11478097098214286,1.0,1.0,0.155029296875,1.0,1.0,68.67117023468018,19.10395860671997,1.0,1.0
2,2.2460731778826033,0.7897229875837054,0.7990796906607491,1.0,1.0,0.24937220982142858,1.0,1.0,0.56689453125,1.0,1.0,70.13749170303345,19.424916982650757,1.0,1.0
3,2.1874848774501254,0.7943829127720424,0.8068765912737165,1.0,1.0,0.37112862723214285,0.9997035435267857,0.9973318917410714,0.6873779296875,1.0,1.0,68.65598201751709,19.10034465789795,1.0,1.0
4,2.117551939828055,0.8002963747297015,0.8174586296081543,1.0,1.0,0.45066615513392855,0.9924490792410714,0.966796875,0.7236328125,0.9981689453125,0.967529296875,69.44109153747559,19.596649885177612,0.967529296875,1.0
5,2.0383923394339427,0.8079821722848075,0.8313549586704799,1.0,1.0,0.5193045479910714,0.9584263392857143,0.8700299944196429,0.759765625,0.9539794921875,0.7896728515625,69.81440424919128,19.24073839187622,0.7896728515625,1.0
6,1.950106484549386,0.8172655786786761,0.849369730268206,1.0,1.0,0.5682721819196429,0.8961879185267857,0.7478201729910714,0.7716064453125,0.892333984375,0.6966552734375,69.25825023651123,19.635735034942627,0.6968994140625,0.999755859375
7,1.8610143661499023,0.8279374667576381,0.8697169167654855,1.0,1.0,0.5959821428571429,0.8323625837053571,0.6433454241071429,0.7828369140625,0.8216552734375,0.61962890625,69.53696846961975,19.35908818244934,0.637939453125,0.981689453125
8,1.7620468139648438,0.8405308042253766,0.8895852225167411,1.0,1.0,0.6244070870535714,0.748046875,0.5450788225446429,0.7899169921875,0.7689208984375,0.5135498046875,69.50558018684387,19.23160219192505,0.607421875,0.9061279296875
9,1.6650934219360352,0.8529408318655831,0.9081656592232841,1.0,1.0,0.6482456752232143,0.6827915736607143,0.4603794642857143,0.7974853515625,0.7109375,0.408935546875,68.57257795333862,19.342548847198486,0.5833740234375,0.8255615234375
10,1.5710599081856864,0.8658368928091866,0.923576899937221,1.0,1.0,0.6639578683035714,0.610107421875,0.39285714285714285,0.8016357421875,0.6478271484375,0.31103515625,68.89025378227234,19.109199047088623,0.5643310546875,0.743896484375
11,1.4829236439296178,0.8752072198050362,0.9323021343776158,0.9998765587806702,1.000123381614685,0.6778564453125,0.5611049107142857,0.359375,0.8135986328125,0.600830078125,0.3299560546875,69.667560338974,19.376025915145874,0.5509033203125,0.7679443359375
12,1.408419064113072,0.8795139448983329,0.931112561907087,0.9997348189353943,1.0002652406692505,0.6885114397321429,0.5268031529017857,0.37576729910714285,0.819580078125,0.5675048828125,0.3402099609375,69.74869012832642,19.565667629241943,0.5489501953125,0.7738037109375
13,1.3342499051775252,0.8830356597900391,0.9305326598031181,0.9995928406715393,1.0004072189331055,0.7042236328125,0.503173828125,0.38368443080357145,0.822265625,0.5382080078125,0.3367919921875,70.11628460884094,19.193135976791382,0.546142578125,0.76611328125
14,1.2692975997924805,0.8838543891906738,0.9295560973031181,0.9994515776634216,1.0005483627319336,0.7110595703125,0.4821079799107143,0.3822719029017857,0.8275146484375,0.512939453125,0.34033203125,68.44813561439514,19.10800266265869,0.5489501953125,0.7579345703125
15,1.2110488074166434,0.8824099813188825,0.9261314528329032,0.9993119239807129,1.000688076019287,0.7203717912946429,0.46201869419642855,0.38282993861607145,0.833251953125,0.49169921875,0.3399658203125,70.10774850845337,19.445593118667603,0.55224609375,0.7481689453125
16,1.1523448399135046,0.8795744350978306,0.9221471377781459,0.9991740584373474,1.0008258819580078,0.7323172433035714,0.4521484375,0.38124302455357145,0.8372802734375,0.4764404296875,0.3424072265625,69.29773235321045,19.103022813796997,0.558837890625,0.7430419921875
