#['main.py', '--data-set=mnist', '--batch-size=4096', '--lr=1e-5', '--epochs=50', '--constraint=EvenOdd(eps=0.4, delta=0.6, gamma=3.0)', '--oracle-steps=20', '--oracle-restarts=10', '--delay=10', '--logic=YG']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time,Extra0,Extra1
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0814208984375,1.0,1.0,0.0,19.575270652770996,1.0,1.0
1,2.2927423204694475,0.7709904398236956,0.781794616154262,1.0,1.0,0.11478097098214286,1.0,1.0,0.155029296875,1.0,1.0,69.23085927963257,19.249426126480103,1.0,1.0
2,2.2460731778826033,0.7753607886178153,0.7879877090454102,1.0,1.0,0.24937220982142858,1.0,1.0,0.56689453125,1.0,1.0,69.4536304473877,19.80793857574463,1.0,1.0
3,2.1874848774501254,0.7812001364571708,0.7980185917445591,1.0,1.0,0.37112862723214285,0.9997035435267857,0.9989188058035714,0.6873779296875,1.0,1.0,69.83831024169922,19.633229970932007,1.0,1.0
4,2.117551939828055,0.7885264669145856,0.8112378120422363,1.0,1.0,0.45066615513392855,0.9924490792410714,0.9810791015625,0.7236328125,0.9981689453125,0.9947509765625,69.32627725601196,19.287931203842163,0.9947509765625,1.0
5,2.0383923394339427,0.797640323638916,0.828080381665911,1.0,1.0,0.5193045479910714,0.9584263392857143,0.9165562220982143,0.759765625,0.9539794921875,0.8763427734375,68.93603038787842,19.520418167114258,0.8763427734375,1.0
6,1.950106484549386,0.808452878679548,0.8488513401576451,1.0,1.0,0.5682721819196429,0.8961879185267857,0.8213239397321429,0.7716064453125,0.892333984375,0.775146484375,69.43460392951965,19.271792888641357,0.775146484375,1.0
7,1.8610143661499023,0.8209003039768764,0.8716929980686733,1.0,1.0,0.5959821428571429,0.8323625837053571,0.7317068917410714,0.7828369140625,0.8216552734375,0.7059326171875,68.75774884223938,19.265708923339844,0.7066650390625,0.999267578125
8,1.7620468139648438,0.8346982683454242,0.8920283998761859,1.0,1.0,0.6244070870535714,0.748046875,0.6444963727678571,0.7899169921875,0.7689208984375,0.6549072265625,68.76333236694336,19.252099990844727,0.675537109375,0.9793701171875
9,1.6650934219360352,0.8490109443664551,0.9112473896571568,1.0,1.0,0.6482456752232143,0.6827915736607143,0.5759626116071429,0.7974853515625,0.7109375,0.574951171875,68.74264335632324,19.24900984764099,0.649169921875,0.92578125
