#['main.py', '--data-set=gtsrb', '--batch-size=4096', '--lr=1e-3', '--epochs=50', '--constraint=Groups(eps=16/255, delta=0.02)', '--oracle-steps=30', '--oracle-restarts=10', '--logic=DL2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0380859375,0.0,0.0,0.0,119.57847166061401
1,3.533863385518392,0.6287441253662109,0.6326123476028442,0.9960613250732422,1.0039386749267578,0.0859375,0.0015869140625,0.0011393229166666667,0.14143880208333334,0.0,0.0,122.54624962806702,119.75917673110962
2,3.070000330607096,0.5198182662328085,0.5629129807154337,0.9946389198303223,1.0053610801696777,0.17671712239583334,0.01123046875,0.0072021484375,0.2833658854166667,0.019775390625,0.007975260416666666,122.74512267112732,120.08753800392151
3,2.6460698445638022,0.41334307193756104,0.5166621208190918,0.9903294444084167,1.009670615196228,0.2654215494791667,0.031656901041666664,0.017374674479166668,0.445068359375,0.15755208333333334,0.07047526041666667,122.76651763916016,118.9294080734253
4,2.210942586263021,0.3048117955525716,0.4549933671951294,0.9865016341209412,1.013498306274414,0.3553059895833333,0.11075846354166667,0.045817057291666664,0.567138671875,0.3768717447916667,0.136962890625,122.50685524940491,118.81037878990173
5,1.8365901311238606,0.21217270692189535,0.3925864299138387,0.9857057929039001,1.0142942667007446,0.4462483723958333,0.23482259114583334,0.0814208984375,0.6338704427083334,0.6524251302083334,0.20662434895833334,122.82012557983398,118.73708748817444
6,1.5571606953938801,0.14414742588996887,0.33550437291463214,0.9870662689208984,1.0129337310791016,0.5135091145833334,0.4030354817708333,0.13260904947916666,0.7190755208333334,0.784423828125,0.2683919270833333,122.93061137199402,119.40452218055725
7,1.2901164690653484,0.10316948095957439,0.2924361030260722,0.9839975833892822,1.0160025358200073,0.5849609375,0.5536702473958334,0.184814453125,0.7889811197916666,0.84716796875,0.3340657552083333,122.35969185829163,118.78930306434631
8,1.0575295289357503,0.08141690492630005,0.2575461069742839,0.9789166450500488,1.0210833549499512,0.6590169270833334,0.638427734375,0.24739583333333334,0.830322265625,0.87451171875,0.3678385416666667,122.36602306365967,118.91950130462646
9,0.8652689456939697,0.06328090031941731,0.22516868511835733,0.9741066098213196,1.0258934497833252,0.7183430989583334,0.71044921875,0.3114827473958333,0.8729654947916666,0.9043782552083334,0.4291178385416667,122.96391224861145,118.80639576911926
10,0.7111021677652994,0.05253310998280843,0.1928787628809611,0.9710701107978821,1.0289298295974731,0.7662760416666666,0.7577311197916666,0.3715413411458333,0.904296875,0.92041015625,0.4794921875,122.59936594963074,118.91417956352234
11,0.5974433024724325,0.045860275626182556,0.1694121559460958,0.9695906043052673,1.0304094552993774,0.8101399739583334,0.7912190755208334,0.4293619791666667,0.9186197916666666,0.9309895833333334,0.5035807291666666,123.17677807807922,119.14350008964539
12,0.5039542516072592,0.038565258185068764,0.15364301204681396,0.9677888751029968,1.032211184501648,0.8406982421875,0.822998046875,0.4686279296875,0.932861328125,0.9423828125,0.54931640625,123.41286301612854,118.87593579292297
13,0.4322128693262736,0.03320526331663132,0.13819087545077005,0.9652952551841736,1.0347046852111816,0.8633626302083334,0.8436279296875,0.514892578125,0.9405110677083334,0.9479166666666666,0.5797526041666666,122.51701736450195,119.40205931663513
14,0.37294018268585205,0.03062991052865982,0.1289506753285726,0.962695300579071,1.0373048782348633,0.8842366536458334,0.8568929036458334,0.5398763020833334,0.940185546875,0.9532063802083334,0.602783203125,123.11725950241089,119.75967979431152
