#['main.py', '--data-set=fmnist', '--batch-size=4096', '--lr=1e-3', '--epochs=50', '--constraint=StandardRobustness(eps=0.2, delta=0.1)', '--oracle-steps=30', '--oracle-restarts=10', '--logic=DL2', '--initial-dl-weight=1.3']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0987548828125,1.0,1.0,0.0,26.486629962921143
1,1.6846389770507812,0.04011949471064976,0.0693204402923584,0.7010149955749512,1.2989850044250488,0.4496547154017857,0.49879673549107145,0.393310546875,0.7110595703125,0.9998779296875,0.09228515625,92.42413878440857,25.915820598602295
2,1.1504220962524414,0.08114209345408849,0.17746826580592565,0.6964760422706604,1.3035240173339844,0.6465018136160714,0.23856026785714285,0.06356375558035714,0.737548828125,0.999267578125,0.073486328125,92.20275950431824,25.91018795967102
3,1.023191043308803,0.0743498546736581,0.17656874656677246,0.6919808387756348,1.3080192804336548,0.6901157924107143,0.2602015904017857,0.07020786830357142,0.756103515625,0.999755859375,0.1064453125,92.6929543018341,26.062808752059937
4,0.954852853502546,0.0646368648324694,0.1675740991319929,0.6876438856124878,1.3123562335968018,0.7134137834821429,0.3022984095982143,0.09261648995535714,0.765625,0.9998779296875,0.12939453125,92.76626992225647,25.929824829101562
5,0.9066599437168666,0.05747535399028233,0.16370572362627303,0.683268129825592,1.3167318105697632,0.7268589564732143,0.3480922154017857,0.11183384486607142,0.768310546875,0.9991455078125,0.156982421875,92.38938760757446,26.140963315963745
6,0.8687178066798619,0.05397383230073111,0.15989601612091064,0.6787412762641907,1.321258783340454,0.7331717354910714,0.3833705357142857,0.12970842633928573,0.7742919921875,0.9993896484375,0.1600341796875,92.36065649986267,25.925208568572998
7,0.846196174621582,0.05229590194565909,0.15663882664271764,0.6741857528686523,1.3258142471313477,0.7358572823660714,0.40415736607142855,0.14203752790178573,0.77392578125,0.9986572265625,0.1837158203125,92.34573125839233,26.037168741226196
8,0.8284720012119838,0.05083147968564715,0.1533524649483817,0.6694762706756592,1.3305237293243408,0.7436174665178571,0.4166957310267857,0.15706961495535715,0.781494140625,0.9984130859375,0.1793212890625,92.83602857589722,25.992030382156372
9,0.8166659900120327,0.04959203089986529,0.14999966961996897,0.6647716760635376,1.335228443145752,0.7467215401785714,0.4286411830357143,0.17124720982142858,0.77880859375,0.9989013671875,0.2103271484375,92.8766541481018,26.05674457550049
10,0.802046707698277,0.04834047385624477,0.14822256565093994,0.6597546935081482,1.3402454853057861,0.7482212611607143,0.4376220703125,0.1759033203125,0.7828369140625,0.9991455078125,0.227294921875,92.61535811424255,26.1197509765625
11,0.794327872140067,0.04663968937737601,0.14637160301208496,0.6548058390617371,1.3451942205429077,0.747314453125,0.4567173549107143,0.18675013950892858,0.78125,0.997802734375,0.2264404296875,92.74148106575012,25.973127126693726
12,0.7871813774108887,0.04596155456134251,0.1426441158567156,0.6498143076896667,1.350185751914978,0.7509068080357143,0.4608677455357143,0.19759695870535715,0.7784423828125,0.998046875,0.2491455078125,92.73413038253784,25.996618270874023
13,0.7776412963867188,0.04539652381624494,0.1407804318836757,0.6445916295051575,1.3554084300994873,0.75146484375,0.47122628348214285,0.20830426897321427,0.7889404296875,0.9981689453125,0.2442626953125,92.6698248386383,26.126659154891968
14,0.7746787752423968,0.04432570934295654,0.13806180443082536,0.639384925365448,1.3606151342391968,0.7547781808035714,0.47267368861607145,0.214111328125,0.7901611328125,0.997314453125,0.2542724609375,92.76155924797058,26.123474836349487
15,0.769975117274693,0.04405546188354492,0.13561210462025233,0.6340368986129761,1.365963101387024,0.756103515625,0.4757080078125,0.21881975446428573,0.785888671875,0.9970703125,0.28466796875,92.63743090629578,25.90822196006775
16,0.7695589746747699,0.04284089377948216,0.13319842304502214,0.6287489533424377,1.371251106262207,0.7520403180803571,0.48941476004464285,0.23257882254464285,0.7789306640625,0.9984130859375,0.2965087890625,93.09236192703247,25.956187963485718
17,0.7611990656171527,0.04309923308236258,0.13205581051962717,0.6232719421386719,1.3767279386520386,0.7576904296875,0.4855433872767857,0.23296247209821427,0.7916259765625,0.9969482421875,0.284912109375,92.44259548187256,26.10807490348816
