#['main.py', '--data-set=mnist', '--batch-size=2048', '--lr=1e-3', '--epochs=1', '--save-onnx', '--constraint=StrongClassificationRobustness(eps=0.4, delta=3.0)', '--oracle-steps=40', '--oracle-restarts=70']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0831298828125,0.0,0.0,0.0,17.497282028198242
1,2.2649701874831627,2.918102922110722,3.1180893470501077,1.0,1.0,0.1887964709051724,0.0,0.0,0.3287353515625,0.0,0.0,65.90747237205505,16.97659683227539
2,1.9593472974053745,2.569440644362877,3.6451218703697466,1.0,1.0,0.4335600754310345,0.0009933997844827585,0.0003199084051724138,0.5179443359375,0.0172119140625,0.0098876953125,63.759106397628784,17.0109920501709
3,1.2340222062735722,1.4178495735957706,5.043755366884429,1.0,1.0,0.6510809536637931,0.14934671336206898,0.09955886314655173,0.7772216796875,0.44482421875,0.30517578125,63.27485156059265,17.093968629837036
4,0.6872268545216528,0.3715975860069538,4.98865061792834,1.0,1.0,0.8014547413793104,0.6555428340517241,0.49407327586206895,0.8411865234375,0.8140869140625,0.655029296875,63.47845673561096,17.011885166168213
5,0.5271105930722993,0.16987308962591763,4.19574000917632,1.0,1.0,0.8465955010775862,0.8407698006465517,0.6813880657327587,0.8720703125,0.8770751953125,0.7301025390625,63.11774396896362,16.925344467163086
6,0.45407831257787246,0.12146345500288339,3.886395158438847,1.0,1.0,0.8695952316810345,0.8868029364224138,0.7394261853448276,0.8836669921875,0.898681640625,0.7596435546875,63.26157331466675,16.83568811416626
7,0.4123728193085769,0.10600866120437095,3.898829493029364,1.0,1.0,0.8812129579741379,0.9045157596982759,0.7606074892241379,0.893798828125,0.92236328125,0.7913818359375,63.42020320892334,16.932939767837524
8,0.383334258507038,0.0968966319643218,3.8697438733331087,1.0,1.0,0.888671875,0.913995150862069,0.7762324892241379,0.898681640625,0.92529296875,0.7939453125,62.8181836605072,16.920006275177002
9,0.3636452905062971,0.09294464670378587,3.9271213926117996,1.0,1.0,0.8954067887931034,0.916924838362069,0.7815362338362069,0.903564453125,0.92822265625,0.8021240234375,63.10838842391968,16.832356214523315
10,0.3483613112877155,0.09249793249985268,3.9999116042564653,1.0,1.0,0.8991109913793104,0.9181371228448276,0.7840618265086207,0.9091796875,0.9322509765625,0.81005859375,62.919633626937866,16.937137126922607
11,0.3337545394897461,0.10033901806535392,4.09893904061153,1.0,1.0,0.9029835668103449,0.9145844558189655,0.7852404364224138,0.912353515625,0.9122314453125,0.7928466796875,63.16665863990784,16.886908292770386
12,0.3220734431825835,0.11019068750841864,4.33746311582368,1.0,1.0,0.9068561422413793,0.9067719558189655,0.7780845905172413,0.916015625,0.91015625,0.7860107421875,63.216333866119385,16.99439001083374
13,0.3113849574121936,0.11402139992549501,4.405837223447603,1.0,1.0,0.9095164331896551,0.9049030172413793,0.7776636584051724,0.916259765625,0.908447265625,0.7840576171875,63.55321288108826,17.00557041168213
14,0.3017891850964776,0.12551270682236243,4.548456126245959,1.0,1.0,0.9119241648706896,0.8979660560344828,0.7747676454741379,0.919921875,0.9127197265625,0.783203125,63.09642171859741,16.929951667785645
15,0.2945631619157462,0.13623128266170106,4.7194540089574355,1.0,1.0,0.9149548760775862,0.8940766433189655,0.7685883620689655,0.922119140625,0.8968505859375,0.7698974609375,63.425981283187866,17.014270305633545
16,0.28426272293616983,0.14008402002268824,4.829657719053071,1.0,1.0,0.9170090247844828,0.8922582165948276,0.7657260237068966,0.92626953125,0.8848876953125,0.763427734375,63.51185154914856,16.97450828552246
17,0.277987447278253,0.15346819778968548,5.014081757644127,1.0,1.0,0.9185075431034483,0.8850181842672413,0.7616682381465517,0.9266357421875,0.8795166015625,0.764404296875,63.65962600708008,17.16550588607788
18,0.27002270468350115,0.16532039642333984,5.127589784819504,1.0,1.0,0.9211509967672413,0.8806741648706896,0.7595299030172413,0.9298095703125,0.8804931640625,0.7593994140625,63.546446323394775,16.939927339553833
19,0.26167719939659384,0.17495582843648977,5.220220105401401,1.0,1.0,0.9245016163793104,0.8785695043103449,0.7582165948275862,0.92919921875,0.8936767578125,0.765380859375,63.607163190841675,16.999870777130127
20,0.2536049546866581,0.17796246758822737,5.388654511550377,1.0,1.0,0.9262190193965517,0.875420932112069,0.7536705280172413,0.9305419921875,0.8818359375,0.7720947265625,63.25808334350586,17.033225059509277
21,0.2473857649441423,0.1898351208917026,5.455342786065463,1.0,1.0,0.9272292564655172,0.872979525862069,0.7550006734913793,0.9349365234375,0.8851318359375,0.7664794921875,62.897817611694336,17.029186248779297
22,0.24078286927321862,0.2001623614081021,5.599478359880118,1.0,1.0,0.929266567887931,0.8666823814655172,0.7508587015086207,0.935302734375,0.8704833984375,0.75390625,63.56070804595947,17.171492338180542
23,0.23403085511306237,0.19680629927536536,5.651396126582704,1.0,1.0,0.9311186691810345,0.8702182112068966,0.7523908943965517,0.936767578125,0.85595703125,0.7576904296875,63.660608530044556,17.017364501953125
24,0.22613512236496497,0.20002779467352505,5.742701563341864,1.0,1.0,0.9336105872844828,0.8707064924568966,0.7527108028017241,0.93896484375,0.8592529296875,0.7603759765625,63.450698375701904,17.055423736572266
25,0.21686032722736226,0.20545969338252626,5.7812084329539335,1.0,1.0,0.9368770204741379,0.8686691810344828,0.7535021551724138,0.9410400390625,0.8843994140625,0.7684326171875,63.37383770942688,16.986427068710327
26,0.2125383081107304,0.20860923569777917,5.877477185479526,1.0,1.0,0.9378704202586207,0.8684502963362069,0.7517174030172413,0.9432373046875,0.872314453125,0.75439453125,63.13722276687622,17.098350524902344
27,0.20825538964107118,0.2093257081919703,5.942177608095366,1.0,1.0,0.9393352640086207,0.8675579202586207,0.7518689385775862,0.9451904296875,0.8836669921875,0.7630615234375,63.505046129226685,16.96472144126892
28,0.19904259977669553,0.2065383976903455,6.038414264547414,1.0,1.0,0.9414399245689655,0.8702013739224138,0.752020474137931,0.9483642578125,0.879150390625,0.76123046875,63.686139822006226,17.05792260169983
29,0.19385041861698546,0.20419793293393892,6.030271859004579,1.0,1.0,0.9434098868534483,0.8727438038793104,0.7546134159482759,0.9481201171875,0.87890625,0.762451171875,63.23520588874817,17.074293851852417
30,0.1886776562394767,0.20591582923099913,6.0815455995757,1.0,1.0,0.9442854256465517,0.8721713362068966,0.7560445851293104,0.9512939453125,0.8597412109375,0.759033203125,63.57332801818848,17.067307233810425
31,0.18314790725708008,0.2099470927797515,6.162387716359105,1.0,1.0,0.9468783674568966,0.8711442618534483,0.7563981681034483,0.95166015625,0.8896484375,0.769287109375,63.465038776397705,17.015236616134644
32,0.17860581957060714,0.21301134701432853,6.251075481546336,1.0,1.0,0.9477370689655172,0.8683829471982759,0.7546639278017241,0.95263671875,0.8917236328125,0.7755126953125,63.664369344711304,17.088636875152588
33,0.17414877332490067,0.21022720994620486,6.254490819470636,1.0,1.0,0.9492019127155172,0.8721713362068966,0.7584186422413793,0.955078125,0.873779296875,0.7637939453125,63.18331503868103,17.107582569122314
34,0.16897379118820716,0.21229650234353953,6.297647410425647,1.0,1.0,0.9509361530172413,0.8708075161637931,0.7596814385775862,0.9559326171875,0.87841796875,0.76416015625,63.06898093223572,17.09255027770996
35,0.16526251825793037,0.20681165826731715,6.35687518941945,1.0,1.0,0.9513065732758621,0.8729626885775862,0.7597992995689655,0.9573974609375,0.8724365234375,0.766845703125,63.55632400512695,16.993990659713745
36,0.161150389704211,0.2085829603260961,6.337834851495151,1.0,1.0,0.9518285290948276,0.8732825969827587,0.7623922413793104,0.9578857421875,0.8746337890625,0.7669677734375,63.314661502838135,17.192426919937134
37,0.15815784191263133,0.21365358089578562,6.394963757745151,1.0,1.0,0.9537311422413793,0.8710432381465517,0.762762661637931,0.9593505859375,0.873046875,0.7711181640625,63.26768445968628,16.84587836265564
38,0.15532192690619107,0.20844316482543945,6.418512804754849,1.0,1.0,0.9535290948275862,0.8738550646551724,0.7650188577586207,0.958251953125,0.8812255859375,0.779296875,63.011937856674194,17.027771949768066
39,0.15141237193140492,0.2073867074374495,6.455561144598599,1.0,1.0,0.9547750538793104,0.8737877155172413,0.7659954202586207,0.9598388671875,0.8731689453125,0.774169921875,63.41198539733887,17.091983318328857
