#['main.py', '--data-set=mnist', '--batch-size=2048', '--lr=1e-3', '--epochs=1', '--save-onnx', '--constraint=StrongClassificationRobustness(eps=0.4, delta=3.0)', '--oracle-steps=40', '--oracle-restarts=70', '--logic=DL2']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0831298828125,0.0,0.0,0.0,17.250237703323364
1,2.305284960516568,2.926641530004041,2.96990808947333,1.0022987127304077,0.9977012872695923,0.09410358297413793,0.0,0.0,0.09033203125,0.0,0.0,63.557586908340454,17.179656505584717
2,2.2982038300612877,2.6909205995757004,2.7561119342672415,1.011763572692871,0.9882364869117737,0.11274245689655173,0.0,0.0,0.1708984375,0.0,0.0,63.947696924209595,17.098578214645386
3,2.3777634193157327,1.240288964633284,1.5535136255724677,1.0544075965881348,0.9455922245979309,0.14906047952586207,0.1998754040948276,0.1846208243534483,0.1011962890625,0.7664794921875,0.7279052734375,63.544626235961914,17.010408401489258
4,2.198334003316945,0.03375423776692357,0.08490080669008453,1.0897771120071411,0.9102229475975037,0.23971241918103448,0.9343009159482759,0.9245016163793104,0.3682861328125,0.999755859375,0.99755859375,62.98863077163696,16.77889323234558
5,1.8448456073629445,3.690977484501641e-05,0.0034109325758342086,1.0949610471725464,0.9050389528274536,0.46711678340517243,0.9996969288793104,0.9981647359913793,0.5196533203125,0.999267578125,0.9976806640625,62.56482529640198,16.83642578125
6,1.3570874970534752,1.0144455229927754e-05,0.001829007447793566,1.0952811241149902,0.904718816280365,0.6041891163793104,0.999932650862069,0.9995285560344828,0.6981201171875,1.0,1.0,62.39793610572815,16.76574993133545
7,0.9413292983482624,0.0,9.704220654635594e-05,1.0954028367996216,0.904597282409668,0.7248619342672413,1.0,0.9999831627155172,0.7769775390625,1.0,1.0,62.55242300033569,16.83408212661743
8,0.7302141518428408,0.0,0.0,1.0955551862716675,0.9044448733329773,0.7861664870689655,1.0,1.0,0.820068359375,1.0,1.0,62.02184176445007,16.70187282562256
9,0.631792923499798,0.0,0.0,1.0957425832748413,0.9042573571205139,0.8140153556034483,1.0,1.0,0.84130859375,1.0,1.0,62.07812714576721,16.75173854827881
10,0.5776364556674299,0.0,0.0,1.0959817171096802,0.9040184020996094,0.8326037176724138,1.0,1.0,0.8526611328125,1.0,1.0,62.385568618774414,16.80819034576416
11,0.5449367391652075,0.0,0.0,1.0962718725204468,0.9037280678749084,0.8423356681034483,1.0,1.0,0.861083984375,1.0,1.0,62.2050039768219,16.782020568847656
12,0.5218673574513403,0.0,0.0,1.0965746641159058,0.9034253358840942,0.8489863954741379,1.0,1.0,0.8636474609375,1.0,1.0,61.7789831161499,16.7768337726593
13,0.5026760101318359,0.0,0.0,1.0969443321228027,0.9030556082725525,0.8547279094827587,1.0,1.0,0.865234375,1.0,1.0,62.07501697540283,16.761062145233154
14,0.49084512118635504,0.0,0.0,1.0973857641220093,0.902614176273346,0.8566473599137931,1.0,1.0,0.8682861328125,1.0,1.0,62.33517503738403,16.66912031173706
15,0.47997037295637457,0.0,0.0,1.0978615283966064,0.9021385312080383,0.8599643049568966,1.0,1.0,0.87109375,1.0,1.0,61.93658089637756,16.802907705307007
16,0.47030501530088226,0.0,0.0,1.098420262336731,0.901579737663269,0.8622205010775862,1.0,1.0,0.87109375,1.0,1.0,61.993274450302124,16.790577173233032
17,0.4633681198646282,0.0,0.0,1.0991805791854858,0.9008195400238037,0.8641231142241379,1.0,1.0,0.8736572265625,1.0,1.0,62.44281768798828,16.736316204071045
18,0.4555378617911503,0.0,0.0,1.0999113321304321,0.9000885486602783,0.8660088900862069,1.0,1.0,0.8759765625,1.0,1.0,62.410749197006226,16.918976306915283
19,0.44981755881473934,0.0,0.0,1.1008166074752808,0.899183452129364,0.8692416487068966,1.0,1.0,0.87744140625,1.0,1.0,62.07782769203186,16.83619999885559
