#['main.py', '--data-set=mnist', '--batch-size=2048', '--lr=1e-3', '--epochs=1', '--save-onnx', '--constraint=StrongClassificationRobustness(eps=0.4, delta=3.0)', '--oracle-steps=40', '--oracle-restarts=70', '--logic=GD']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Acc,Train-C-Acc,Train-C-Sec,Test-P-Acc,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0831298828125,0.0,0.0,0.0,19.488783597946167
1,2.295872918490706,0.9447369411073882,0.9720421495108769,1.0016376972198486,0.9983622431755066,0.11821457435344827,0.0,0.0,0.120849609375,0.0,0.0,72.88348579406738,19.66452670097351
2,2.2259479391163794,0.7698051189554149,0.8683433532714844,1.0150529146194458,0.9849469661712646,0.15389278017241378,0.0,0.0,0.2127685546875,0.000244140625,0.0,73.0123815536499,19.630887985229492
3,1.949652441616716,0.22615340660358296,0.45545219552928,1.048647403717041,0.9513525366783142,0.36720433728448276,0.2816877693965517,0.2390557650862069,0.5074462890625,0.9747314453125,0.9412841796875,73.21682238578796,19.520075798034668
4,1.2702422306455414,9.390006869517523e-05,0.0036349720482168526,1.090751051902771,0.9092487692832947,0.6437230603448276,0.9978111530172413,0.9935344827586207,0.7354736328125,0.9998779296875,0.9998779296875,71.65689730644226,19.461347341537476
5,0.7778956314613079,3.465309795313354e-06,0.00013469827586206896,1.0987776517868042,0.9012224078178406,0.7694302262931034,0.9999494881465517,0.9998653017241379,0.8203125,1.0,0.9998779296875,71.05059099197388,19.40911865234375
6,0.5923734204522495,8.348895413479928e-07,6.734913793103448e-05,1.0984152555465698,0.9015846252441406,0.8269463900862069,0.9999831627155172,0.999932650862069,0.8543701171875,1.0,1.0,71.37135124206543,19.29668116569519
7,0.5137246230552936,0.0,3.367456896551724e-05,1.097549319267273,0.9024507999420166,0.8521854795258621,1.0,0.9999663254310345,0.8699951171875,1.0,1.0,71.34824132919312,19.410503149032593
8,0.4644520529385271,0.0,0.0,1.0968644618988037,0.9031354784965515,0.8646113954741379,1.0,1.0,0.8809814453125,1.0,1.0,71.13623189926147,19.219007968902588
9,0.4337139787345097,0.0,0.0,1.0963548421859741,0.9036450982093811,0.8761449353448276,1.0,1.0,0.8876953125,1.0,1.0,70.95026779174805,19.28371834754944
10,0.4116434228831324,4.386649756082173e-09,0.0,1.0959659814834595,0.9040340185165405,0.8824925915948276,0.9999831627155172,1.0,0.892822265625,1.0,1.0,70.73219347000122,19.22994351387024
11,0.39176529851453057,0.0,1.683728448275862e-05,1.0957098007202148,0.9042901992797852,0.8872407058189655,1.0,0.9999831627155172,0.8953857421875,1.0,1.0,71.12864208221436,19.32516360282898
12,0.37634813374486464,0.0,0.0,1.095582365989685,0.9044178128242493,0.8919719827586207,1.0,1.0,0.9012451171875,1.0,1.0,71.17551469802856,19.058534145355225
13,0.36358711637299634,0.0,0.0,1.0955528020858765,0.9044471979141235,0.8946322737068966,1.0,1.0,0.9012451171875,1.0,1.0,71.45383262634277,19.107921838760376
14,0.35175524086787785,0.0,0.0,1.0956296920776367,0.9043703079223633,0.8970736799568966,1.0,1.0,0.9046630859375,1.0,1.0,71.1404812335968,19.28995442390442
15,0.3428878455326475,0.0,0.0,1.0958195924758911,0.9041804671287537,0.9006600215517241,1.0,1.0,0.9072265625,1.0,1.0,71.47635746002197,19.30811882019043
16,0.33393267927498654,0.0,0.0,1.0961188077926636,0.9038810729980469,0.9019564924568966,1.0,1.0,0.910400390625,1.0,1.0,71.10914301872253,19.31254482269287
17,0.3283145838770373,0.0,0.0,1.0966311693191528,0.9033687710762024,0.9042800377155172,1.0,1.0,0.911376953125,1.0,1.0,71.08137226104736,19.21432852745056
18,0.3176282027672077,0.0,0.0,1.0970860719680786,0.9029139876365662,0.907782192887931,1.0,1.0,0.9146728515625,1.0,1.0,71.17311239242554,19.257991552352905
19,0.3114350088711443,0.0,0.0,1.0976426601409912,0.902357280254364,0.9092301993534483,1.0,1.0,0.9161376953125,1.0,1.0,71.05732893943787,19.296789169311523
20,0.3033040803054283,0.0,0.0,1.0983502864837646,0.9016498327255249,0.9105098329741379,1.0,1.0,0.916748046875,1.0,1.0,71.30770492553711,19.355407238006592
21,0.2980784383313409,0.0,0.0,1.0991555452346802,0.9008445143699646,0.912530307112069,1.0,1.0,0.9200439453125,1.0,1.0,71.03351855278015,19.263965845108032
22,0.2939395246834591,0.0,0.0,1.1000381708145142,0.8999617695808411,0.9140961745689655,1.0,1.0,0.9224853515625,1.0,1.0,71.32753014564514,19.385569095611572
23,0.2893626443270979,0.0,0.0,1.101191520690918,0.8988085389137268,0.9153084590517241,1.0,1.0,0.9227294921875,1.0,1.0,71.23640418052673,19.298606634140015
24,0.28294142361344965,0.0,0.0,1.1023173332214355,0.8976826667785645,0.9174299568965517,1.0,1.0,0.9249267578125,1.0,1.0,71.27946376800537,19.27746868133545
25,0.27625998135270746,0.0,0.0,1.103435754776001,0.896564245223999,0.9190294989224138,1.0,1.0,0.9266357421875,1.0,1.0,71.15256023406982,19.20751667022705
26,0.274125756888554,0.0,0.0,1.1047873497009277,0.895212709903717,0.9195346174568966,1.0,1.0,0.9271240234375,1.0,1.0,71.15732073783875,19.325981616973877
27,0.27173366217777645,0.0,0.0,1.1062753200531006,0.8937247395515442,0.9210162984913793,1.0,1.0,0.9288330078125,1.0,1.0,71.25820112228394,19.267351150512695
28,0.26514655146105537,0.0,0.0,1.1076830625534058,0.8923169374465942,0.922295932112069,1.0,1.0,0.9306640625,1.0,1.0,71.02264881134033,19.219221353530884
29,0.2626431728231496,0.0,0.0,1.1091597080230713,0.8908403515815735,0.9225316540948276,1.0,1.0,0.9302978515625,1.0,1.0,71.2449107170105,19.36434769630432
30,0.25897665681510135,0.0,0.0,1.110863447189331,0.8891366720199585,0.9235924030172413,1.0,1.0,0.9317626953125,1.0,1.0,71.23341798782349,19.22092890739441
31,0.2531384764046505,0.0,0.0,1.1124876737594604,0.8875122666358948,0.9260506465517241,1.0,1.0,0.931640625,1.0,1.0,71.03150963783264,19.354034423828125
32,0.25103840334662075,0.0,0.0,1.1139819622039795,0.8860180974006653,0.9271450700431034,1.0,1.0,0.9337158203125,1.0,1.0,71.46204590797424,19.211928129196167
33,0.24672810784701643,0.0,0.0,1.115869402885437,0.8841306567192078,0.9277007004310345,1.0,1.0,0.9339599609375,1.0,1.0,71.44904446601868,19.55541157722473
34,0.24398208486622777,0.0,0.0,1.1178587675094604,0.8821412324905396,0.928290005387931,1.0,1.0,0.9354248046875,1.0,1.0,71.49100041389465,19.472994565963745
35,0.2417736053466797,0.0,0.0,1.1198855638504028,0.8801144361495972,0.9287277747844828,1.0,1.0,0.936767578125,1.0,1.0,71.21378207206726,19.264581441879272
36,0.23879514891525794,0.0,0.0,1.1221885681152344,0.8778115510940552,0.9302936422413793,1.0,1.0,0.9366455078125,1.0,1.0,70.89438605308533,19.194257259368896
37,0.23467521009774045,0.0,0.0,1.124558448791504,0.8754414916038513,0.9313880657327587,1.0,1.0,0.9383544921875,1.0,1.0,71.22031664848328,19.154722452163696
38,0.23133111822194066,0.0,0.0,1.1271202564239502,0.8728798031806946,0.9324656519396551,1.0,1.0,0.939453125,1.0,1.0,70.97087502479553,19.304896116256714
39,0.22797630573141164,0.0,0.0,1.1297160387039185,0.8702839016914368,0.9332401670258621,1.0,1.0,0.939453125,1.0,1.0,71.04548716545105,19.254610776901245
